2200 39.41
2150 35.27 0 0.4
2100 32.37 0 0.4 
2050 29.1 0 0.4
2000 26.8 0 0.3
1950 24.3 0 0.3
1900 21.7 0 0.2
1850 18.4 0 0.2
1800 16.2 0 0.2
1750 12.6 0 0.3
