2 67 68	2700	2200	2800
2 69 70	2600	2150	2700
1 71	2500	2100	2600
2 72 74	2400	2050	2500
1 75	2300	2000	2400
1 76	2200	1950	2300
1 77	2100	1900	2200
1 78	2000	1850	2100
1 79	2050	1800	2000
1 80	2150	1750	2050
1 89	2250	1700	2150
1 90	2350	1650	2250
1 91	2450	1600	2350
1 92	2550	1550	2450
1 93	2650	1500	2550
1 94	2750	1450	2650
