1 247     2000  2000    1900
1 248     2100  2100    1950
1 249     2200  2200    2000
1 250     2300  2300    2050
1 251     2400  2400    2100
1 252     2500  2500    2150
2 253 254 2600  2600    2200
2 258 259 2700  2700    2250
1 260     2800  2800    2300
1 261     2900  2900    2350
1 262     3000  3000    2400
