2619	0.415	0.000	0.027
2522	0.362	0.000	0.034
2425	0.240	0.000	0.030
2328	0.276	0.000	0.024
2231	0.150	0.000	0.021
2134	0.113	0.000	0.020
2037	0.072	0.000	0.016
1940	0.020	0.000	0.007
1988	0.022	0.000	0.012
2086	0.060	0.000	0.011
2182	0.100	0.000	0.017
2280	0.245	0.000	0.024
2376	0.250	0.000	0.022
2474	0.346	0.000	0.026
2570	0.333	0.000	0.023
2668	0.413	0.000	0.026
1940	0.000	0.000	0.001
2037	0.032	0.000	0.004
2134	0.098	0.000	0.006
2231	0.200	0.000	0.008
2328	0.239	0.000	0.009
2425	0.301	0.000	0.011
2522	0.356	0.000	0.012
2619	0.387	0.000	0.010
2716	0.424	0.000	0.009
2813	0.447	0.000	0.008
2910	0.487	0.000	0.008
