2436	0.960	0.000	0.011
2349	0.983	0.000	0.009
2262	0.949	0.000	0.016
2175	0.955	0.000	0.011
2088	0.893	0.000	0.018
2001	0.836	0.000	0.024
1914	0.591	0.000	0.030
1827	0.192	0.000	0.020
1740	0.019	0.000	0.012
1784	0.076	0.000	0.013
1870	0.400	0.000	0.028
1958	0.760	0.000	0.024
2044	0.906	0.000	0.015
2132	0.934	0.000	0.014
2218	0.948	0.000	0.011
2306	0.963	0.000	0.010
2558	0.980	0.000	0.010
2464	0.979	0.000	0.008
2372	0.972	0.000	0.011
2278	0.970	0.000	0.012
2186	0.865	0.000	0.021
2092	0.792	0.000	0.023
2000	0.456	0.000	0.027
1906	0.087	0.000	0.014
1814	0.017	0.000	0.008
1720	0.024	0.000	0.014
